backers_count,category,country,creator,currency,disable_communication,goal,is_starrable,staff_pick,state,urls,usd_pledged,location,blurb_length,duration
2,fashion/accessories,US,463598508,USD,False,3981.0,True,False,live,"{'project': 'https://www.kickstarter.com/projects/463598508/bow-vivant-by-forestique-make-100?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/463598508/bow-vivant-by-forestique-make-100/rewards'}",245.0,"Atlanta, GA",25,31
5,fashion/accessories,GB,1466481708,GBP,False,150.0,True,False,live,"{'project': 'https://www.kickstarter.com/projects/1466481708/robot-head-enamel-pin?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/1466481708/robot-head-enamel-pin/rewards'}",97.55352687,"Guildford, UK",14,30
23,fashion/accessories,US,683281547,USD,False,5225.0,True,False,live,"{'project': 'https://www.kickstarter.com/projects/683281547/ezxon-charcoal-infused-bath-sponge?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/683281547/ezxon-charcoal-infused-bath-sponge/rewards'}",550.0,"New York, NY",25,30
36,fashion/accessories,US,1460749939,USD,False,15000.0,True,False,live,"{'project': 'https://www.kickstarter.com/projects/sagan/sagan-exceptional-sunglasses-trade-anytime-you-wan?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/sagan/sagan-exceptional-sunglasses-trade-anytime-you-wan/rewards'}",3932.0,"New Orleans, LA",16,35
17,fashion/accessories,US,282813675,USD,False,850.0,True,False,live,"{'project': 'https://www.kickstarter.com/projects/282813675/pennywises-offering-horror-enamel-pins?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/282813675/pennywises-offering-horror-enamel-pins/rewards'}",439.0,"Los Angeles, CA",23,30
14,fashion/accessories,US,534732233,USD,False,500.0,True,False,live,"{'project': 'https://www.kickstarter.com/projects/534732233/fun-and-fierce-hard-enamel-pins?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/534732233/fun-and-fierce-hard-enamel-pins/rewards'}",260.0,"Los Angeles, CA",15,30
45,fashion/accessories,US,1450965674,USD,False,400.0,True,False,live,"{'project': 'https://www.kickstarter.com/projects/1450965674/puffin-and-pelican-enamel-pins?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/1450965674/puffin-and-pelican-enamel-pins/rewards'}",902.0,"South Florida, FL",17,24
47,fashion/accessories,US,2064044544,USD,False,600.0,True,False,live,"{'project': 'https://www.kickstarter.com/projects/fleacircusdesigns/angel-and-demon-wings-enamel-lapel-pins?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/fleacircusdesigns/angel-and-demon-wings-enamel-lapel-pins/rewards'}",1098.0,"Boston, MA",12,30
88,fashion/accessories,US,1206223230,USD,False,1700.0,True,False,live,"{'project': 'https://www.kickstarter.com/projects/alradeck/paleopins-cute-enamel-prehistoric-pins-v3?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/alradeck/paleopins-cute-enamel-prehistoric-pins-v3/rewards'}",3260.0,"Boston, MA",11,30
19,fashion/accessories,GB,386118887,GBP,False,300.0,True,False,live,"{'project': 'https://www.kickstarter.com/projects/lemonslovelyloot/jammy-badger-enamel-pin-badge?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/lemonslovelyloot/jammy-badger-enamel-pin-badge/rewards'}",446.40389745,"Calne, UK",18,30
