backers_count,category,country,creator,currency,disable_communication,goal,is_starrable,staff_pick,state,usd_pledged,location,blurb_length,duration
255,12,21,89296390,13,0,-0.03290038584421482,1,0,live,6483.09,1357,-0.8998424009322258,-0.2839224715204801
2,5,9,565544666,5,0,-0.03741251500300559,1,0,live,55.4400556,4003,1.1638125788318172,-0.2839224715204801
14,4,21,523862551,13,0,-0.03740961945242392,1,0,live,403.0,8822,0.7510815828790086,-0.4411341256311016
0,6,21,693124686,13,0,-0.03645812979197613,1,0,live,0.0,12642,0.33835058692620007,-0.2839224715204801
124,4,21,524543388,13,0,-0.035630747478543265,1,1,live,5195.0,12276,0.13198508894979574,-0.2839224715204801
7,0,21,1287434212,13,0,-0.03645812979197613,1,0,live,1780.0,1405,0.5447160849026044,-0.2839224715204801
0,3,21,323337302,13,0,0.045039028081160955,1,0,live,0.0,164,1.576543574784626,1.209588242530424
7,0,21,1381665592,13,0,-0.034389674008393975,1,0,live,360.0,12015,-1.5189388948614386,-0.2839224715204801
7,9,5,964974950,4,0,-0.029610055368256012,1,0,live,279.86077863,5169,0.5447160849026044,-0.2839224715204801
21,0,21,1368446552,13,0,-0.037037297411379136,1,0,live,429.0,13983,-1.3125733968850344,-0.2839224715204801
11,0,3,1394184264,1,0,-0.03749928099309065,1,0,live,233.5778639,13187,0.5447160849026044,-0.2839224715204801
101,4,21,1565541817,13,0,-0.03712003564272242,1,0,live,2117.0,11301,0.33835058692620007,-0.2839224715204801
8,3,6,197309455,3,0,-0.037427452933545886,1,0,live,156.83291725,2739,-0.8998424009322258,-0.2839224715204801
27,4,3,1028002505,1,0,-0.037036472974546736,1,1,live,1031.68341472,8294,0.13198508894979574,-0.2839224715204801
3,0,9,2030690909,5,0,-0.035404892675700406,1,0,live,148.35416999,5199,0.7510815828790086,1.9956465130835315
37,4,21,1814026535,13,0,-0.03687182094869256,1,0,live,1290.0,6476,-0.28074590700301283,-0.2839224715204801
2,0,21,1875702700,13,0,-0.03687182094869256,1,0,live,60.0,522,-0.07438040902660854,-0.2839224715204801
0,10,21,763848267,13,0,-0.032321218224811814,1,0,live,0.0,5624,1.576543574784626,0.6593474531432488
0,8,3,885417977,1,0,-0.01854566401256821,1,0,live,0.0,12813,0.7510815828790086,-0.2839224715204801
157,4,2,448295595,4,0,-0.03587914498600481,1,0,live,3757.95587025,348,0.5447160849026044,0.10910666375607361
2,4,3,1015250580,1,0,-0.03465338860633799,1,0,live,40.0137645,8324,0.13198508894979574,-0.2839224715204801
4,0,21,1106601651,13,0,-0.02528846856063247,1,0,live,285.0,4198,0.5447160849026044,0.8951649343091811
0,0,9,1872738210,5,0,0.07124233520341422,1,0,live,0.0,3693,0.7510815828790086,0.8951649343091811
137,11,21,1056311536,13,0,-0.032321218224811814,1,0,live,5100.0,5816,1.9892745707374344,-0.2839224715204801
6,4,21,1651338446,13,0,-0.02930127278078186,1,0,live,160.0,10038,0.33835058692620007,-0.5197399526864124
6,0,21,1755219679,13,0,-0.036706344486005994,1,0,live,358.0,7838,1.1638125788318172,-0.6769516067970338
45,0,21,37372733,13,0,-0.03472062693376712,1,0,live,3545.0,1950,0.33835058692620007,-0.6769516067970338
2,3,8,463750387,4,0,-0.03413106776896634,1,0,live,239.03901478,9660,-0.28074590700301283,-0.2839224715204801
0,0,21,216853493,13,0,-0.03687182094869256,1,0,live,0.0,3790,1.576543574784626,-0.3625282985757909
57,0,21,340027689,13,0,-0.03711176181958809,1,0,live,1143.0,873,0.33835058692620007,-0.2839224715204801
428,4,3,383345800,1,0,-0.03437760729925841,1,0,live,19833.65178168,7253,0.957447080855413,-0.2839224715204801
